Title,Laurier & Metcalfe bike counter - updated daily
2012-01-01,38
2012-01-02,62
2012-01-03,176
2012-01-04,165
2012-01-05,218
2012-01-06,210
2012-01-07,61
2012-01-08,64
2012-01-09,239
2012-01-10,285
2012-01-11,262
2012-01-12,244
2012-01-13,229
2012-01-14,57
2012-01-15,74
2012-01-16,220
2012-01-17,194
2012-01-18,213
2012-01-19,244
2012-01-20,232
2012-01-21,60
2012-01-22,197
2012-01-23,222
2012-01-24,247
2012-01-25,266
2012-01-26,258
2012-01-27,203
2012-01-28,97
2012-01-29,77
2012-01-30,235
2012-01-31,230
2012-02-01,205
2012-02-02,251
2012-02-03,223
2012-02-04,90
2012-02-05,87
2012-02-06,274
2012-02-07,239
2012-02-08,283
2012-02-09,294
2012-02-10,278
2012-02-11,63
2012-02-12,52
2012-02-13,281
2012-02-14,307
2012-02-15,284
2012-02-16,320
2012-02-17,275
2012-02-18,131
2012-02-19,120
2012-02-20,211
2012-02-21,339
2012-02-22,350
2012-02-23,317
2012-02-24,222
2012-02-25,65
2012-02-26,61
2012-02-27,246
2012-02-28,268
2012-02-29,200
2012-03-01,211
2012-03-02,236
2012-03-03,74
2012-03-04,65
2012-03-05,226
2012-03-06,274
2012-03-07,346
2012-03-08,285
2012-03-09,344
2012-03-10,114
2012-03-11,181
2012-03-12,518
2012-03-13,511
2012-03-14,463
2012-03-15,470
2012-03-16,457
2012-03-17,364
2012-03-18,573
2012-03-19,1157
2012-03-20,1456
2012-03-21,1519
2012-03-22,1391
2012-03-23,1291
2012-03-24,384
2012-03-25,380
2012-03-26,659
2012-03-27,726
2012-03-28,448
2012-03-29,788
2012-03-30,811
2012-03-31,456
2012-04-01,197
2012-04-02,1080
2012-04-03,1124
2012-04-04,1054
2012-04-05,1032
2012-04-06,378
2012-04-07,387
2012-04-08,371
2012-04-09,305
2012-04-10,849
2012-04-11,1165
2012-04-12,1466
2012-04-13,1497
2012-04-14,610
2012-04-15,535
2012-04-16,1268
2012-04-17,1450
2012-04-18,1479
2012-04-19,1628
2012-04-20,838
2012-04-21,276
2012-04-22,437
2012-04-23,385
2012-04-24,777
2012-04-25,1103
2012-04-26,1077
2012-04-27,871
2012-04-28,498
2012-04-29,478
2012-04-30,1539
2012-05-01,1124
2012-05-02,1723
2012-05-03,1315
2012-05-04,1415
2012-05-05,850
2012-05-06,913
2012-05-07,2107
2012-05-08,792
2012-05-09,1381
2012-05-10,1439
2012-05-11,1907
2012-05-12,926
2012-05-13,814
2012-05-14,2354
2012-05-15,2384
2012-05-16,1861
2012-05-17,2297
2012-05-18,1995
2012-05-19,956
2012-05-20,1013
2012-05-21,839
2012-05-22,1519
2012-05-23,2535
2012-05-24,2597
2012-05-25,2097
2012-05-26,1256
2012-05-27,1277
2012-05-28,2252
2012-05-29,1854
2012-05-30,2509
2012-05-31,2416
2012-06-01,1653
2012-06-02,529
2012-06-03,432
2012-06-04,1556
2012-06-05,2469
2012-06-06,2294
2012-06-07,2229
2012-06-08,1874
2012-06-09,959
2012-06-10,1119
2012-06-11,2391
2012-06-12,1501
2012-06-13,2674
2012-06-14,2559
2012-06-15,2375
2012-06-16,1047
2012-06-17,961
2012-06-18,2282
2012-06-19,1909
2012-06-20,2396
2012-06-21,2487
2012-06-22,2408
2012-06-23,1265
2012-06-24,882
2012-06-25,1519
2012-06-26,2256
2012-06-27,2523
2012-06-28,2524
2012-06-29,2051
2012-06-30,1047
2012-07-01,1505
2012-07-02,980
2012-07-03,2308
2012-07-04,2536
2012-07-05,2714
2012-07-06,2224
2012-07-07,1106
2012-07-08,1161
2012-07-09,2593
2012-07-10,2939
2012-07-11,2760
2012-07-12,2708
2012-07-13,2283
2012-07-14,1011
2012-07-15,934
2012-07-16,2349
2012-07-17,1969
2012-07-18,2582
2012-07-19,2535
2012-07-20,2271
2012-07-21,910
2012-07-22,944
2012-07-23,1750
2012-07-24,2480
2012-07-25,2556
2012-07-26,1956
2012-07-27,2160
2012-07-28,977
2012-07-29,1013
2012-07-30,2266
2012-07-31,2228
2012-08-01,2236
2012-08-02,2367
2012-08-03,1975
2012-08-04,756
2012-08-05,514
2012-08-06,865
2012-08-07,2133
2012-08-08,2150
2012-08-09,1730
2012-08-10,1149
2012-08-11,746
2012-08-12,716
2012-08-13,1924
2012-08-14,1938
2012-08-15,2286
2012-08-16,2300
2012-08-17,1493
2012-08-18,1061
2012-08-19,823
2012-08-20,2166
2012-08-21,2111
2012-08-22,2323
2012-08-23,2161
2012-08-24,2038
2012-08-25,1019
2012-08-26,1012
2012-08-27,1697
2012-08-28,2289
2012-08-29,2377
2012-08-30,2264
2012-08-31,1426
2012-09-01,903
2012-09-02,856
2012-09-03,917
2012-09-04,1678
2012-09-05,2119
2012-09-06,2083
2012-09-07,2271
2012-09-08,311
2012-09-09,795
2012-09-10,2252
2012-09-11,2389
2012-09-12,2449
2012-09-13,2444
2012-09-14,1545
2012-09-15,895
2012-09-16,814
2012-09-17,2277
2012-09-18,1054
2012-09-19,2171
2012-09-20,2126
2012-09-21,969
2012-09-22,582
2012-09-23,766
2012-09-24,1887
2012-09-25,1912
2012-09-26,1880
2012-09-27,2031
2012-09-28,1873
2012-09-29,666
2012-09-30,308
2012-10-01,1505
2012-10-02,1988
2012-10-03,1945
2012-10-04,1864
2012-10-05,1489
2012-10-06,473
2012-10-07,386
2012-10-08,434
2012-10-09,1875
2012-10-10,1534
2012-10-11,1615
2012-10-12,1379
2012-10-13,521
2012-10-14,183
2012-10-15,1311
2012-10-16,1600
2012-10-17,1543
2012-10-18,1879
2012-10-19,997
2012-10-20,564
2012-10-21,453
2012-10-22,1506
2012-10-23,1637
2012-10-24,1506
2012-10-25,1598
2012-10-26,1657
2012-10-27,359
2012-10-28,278
2012-10-29,1128
2012-10-30,1081
2012-10-31,990
2012-11-01,1046
2012-11-02,905
2012-11-03,380
2012-11-04,352
2012-11-05,1115
2012-11-06,1090
2012-11-07,1032
2012-11-08,1070
2012-11-09,1051
2012-11-10,380
2012-11-11,282
2012-11-12,747
2012-11-13,1174
2012-11-14,1185
2012-11-15,1066
2012-11-16,932
2012-11-17,349
2012-11-18,314
2012-11-19,1062
2012-11-20,1135
2012-11-21,1158
2012-11-22,1155
2012-11-23,947
2012-11-24,264
2012-11-25,227
2012-11-26,400
2012-11-27,507
2012-11-28,540
2012-11-29,478
2012-11-30,486
2012-12-01,153
2012-12-02,81
2012-12-03,660
2012-12-04,636
2012-12-05,662
2012-12-06,587
2012-12-07,612
2012-12-08,152
2012-12-09,180
2012-12-10,192
2012-12-11,262
2012-12-12,336
2012-12-13,375
2012-12-14,447
2012-12-15,142
2012-12-16,92
2012-12-17,193
2012-12-18,205
2012-12-19,287
2012-12-20,296
2012-12-21,87
2012-12-22,40
2012-12-23,53
2012-12-24,108
2012-12-25,27
2012-12-26,54
2012-12-27,72
2012-12-28,103
2012-12-29,79
2012-12-30,41
2012-12-31,96
2013-01-01,56
2013-01-02,127
2013-01-03,159
2013-01-04,165
2013-01-05,78
2013-01-06,62
2013-01-07,231
2013-01-08,254
2013-01-09,252
2013-01-10,283
2013-01-11,217
2013-01-12,116
2013-01-13,85
2013-01-14,311
2013-01-15,295
2013-01-16,330
2013-01-17,282
2013-01-18,188
2013-01-19,75
2013-01-20,61
2013-01-21,195
2013-01-22,212
2013-01-23,178
2013-01-24,163
2013-01-25,178
2013-01-26,64
2013-01-27,110
2013-01-28,199
2013-01-29,194
2013-01-30,205
2013-01-31,223
2013-02-01,204
2013-02-02,71
2013-02-03,79
2013-02-04,205
2013-02-05,218
2013-02-06,259
2013-02-07,214
2013-02-08,149
2013-02-09,92
2013-02-10,84
2013-02-11,198
2013-02-12,216
2013-02-13,252
2013-02-14,269
2013-02-15,208
2013-02-16,68
2013-02-17,60
2013-02-18,133
2013-02-19,235
2013-02-20,211
2013-02-21,231
2013-02-22,207
2013-02-23,74
2013-02-24,90
2013-02-25,271
2013-02-26,301
2013-02-27,205
2013-02-28,202
2013-03-01,245
2013-03-02,85
2013-03-03,69
2013-03-04,252
2013-03-05,267
2013-03-06,325
2013-03-07,336
2013-03-08,356
2013-03-09,192
2013-03-10,162
2013-03-11,388
2013-03-12,364
2013-03-13,392
2013-03-14,297
2013-03-15,258
2013-03-16,129
2013-03-17,105
2013-03-18,349
2013-03-19,172
2013-03-20,250
2013-03-21,276
2013-03-22,277
2013-03-23,139
2013-03-24,144
2013-03-25,425
2013-03-26,529
2013-03-27,556
2013-03-28,605
2013-03-29,300
2013-03-30,335
2013-03-31,262
2013-04-01,244
2013-04-02,497
2013-04-03,550
2013-04-04,739
2013-04-05,650
2013-04-06,326
2013-04-07,216
2013-04-08,950
2013-04-09,955
2013-04-10,1079
2013-04-11,830
2013-04-12,147
2013-04-13,458
2013-04-14,297
2013-04-15,1185
2013-04-16,723
2013-04-17,1330
2013-04-18,1251
2013-04-19,914
2013-04-20,789
2013-04-21,358
2013-04-22,1432
2013-04-23,1552
2013-04-24,1087
2013-04-25,1497
2013-04-26,1208
2013-04-27,516
2013-04-28,747
2013-04-29,1466
2013-04-30,1344
2013-05-01,2180
2013-05-02,2280
2013-05-03,2147
2013-05-04,1009
2013-05-05,1099
2013-05-06,2434
2013-05-07,2492
2013-05-08,2655
2013-05-09,2047
2013-05-10,1550
2013-05-11,592
2013-05-12,501
2013-05-13,1492
2013-05-14,1992
2013-05-15,1803
2013-05-16,2352
2013-05-17,2188
2013-05-18,1018
2013-05-19,638
2013-05-20,828
2013-05-21,1579
2013-05-22,1588
2013-05-23,1439
2013-05-24,1178
2013-05-25,936
2013-05-26,935
2013-05-27,2457
2013-05-28,2601
2013-05-29,1229
2013-05-30,2556
2013-05-31,2245
2013-06-01,884
2013-06-02,636
2013-06-03,2407
2013-06-04,2618
2013-06-05,2539
2013-06-06,1358
2013-06-07,845
2013-06-08,610
2013-06-09,1005
2013-06-10,2334
2013-06-11,862
2013-06-12,2524
2013-06-13,2429
2013-06-14,2348
2013-06-15,1099
2013-06-16,330
2013-06-17,2037
2013-06-18,2510
2013-06-19,2848
2013-06-20,2738
2013-06-21,2582
2013-06-22,582
2013-06-23,930
2013-06-24,1991
2013-06-25,2161
2013-06-26,2379
2013-06-27,2451
2013-06-28,773
2013-06-29,767
2013-06-30,1105
2013-07-01,1557
2013-07-02,1904
2013-07-03,2434
2013-07-04,2451
2013-07-05,1846
2013-07-06,889
2013-07-07,1082
2013-07-08,2091
2013-07-09,2221
2013-07-10,2367
2013-07-11,2449
2013-07-12,2412
2013-07-13,1138
2013-07-14,1143
2013-07-15,2366
2013-07-16,2354
2013-07-17,2155
2013-07-18,2284
2013-07-19,1530
2013-07-20,979
2013-07-21,1039
2013-07-22,2366
2013-07-23,2344
2013-07-24,2410
2013-07-25,2536
2013-07-26,2209
2013-07-27,1008
2013-07-28,590
2013-07-29,2076
2013-07-30,2556
2013-07-31,2564
2013-08-01,1445
2013-08-02,1849
2013-08-03,544
2013-08-04,473
2013-08-05,916
2013-08-06,2408
2013-08-07,2033
2013-08-08,2342
2013-08-09,2161
2013-08-10,1049
2013-08-11,1003
2013-08-12,2245
2013-08-13,1964
2013-08-14,2113
2013-08-15,2473
2013-08-16,2078
2013-08-17,996
2013-08-18,1034
2013-08-19,2368
2013-08-20,2552
2013-08-21,2444
2013-08-22,1311
2013-08-23,2231
2013-08-24,1052
2013-08-25,843
2013-08-26,1910
2013-08-27,2291
2013-08-28,2327
2013-08-29,2454
2013-08-30,1756
2013-08-31,791
2013-09-01,836
2013-09-02,554
2013-09-03,2042
2013-09-04,2316
2013-09-05,2378
2013-09-06,2180
2013-09-07,691
2013-09-08,821
2013-09-09,2323
2013-09-10,1276
2013-09-11,2241
2013-09-12,1638
2013-09-13,1963
2013-09-14,744
2013-09-15,667
2013-09-16,2065
2013-09-17,2294
2013-09-18,2384
2013-09-19,2509
2013-09-20,2392
2013-09-21,373
2013-09-22,633
2013-09-23,2049
2013-09-24,2205
2013-09-25,2407
2013-09-26,2397
2013-09-27,2102
2013-09-28,853
2013-09-29,837
2013-09-30,2259
2013-10-01,2477
2013-10-02,2116
2013-10-03,2451
2013-10-04,1727
2013-10-05,799
2013-10-06,367
2013-10-07,1256
2013-10-08,2128
2013-10-09,2148
2013-10-10,2179
2013-10-11,1757
2013-10-12,619
2013-10-13,480
2013-10-14,513
2013-10-15,1898
